kanda.prasna	anuvakas	mantras	header
1.1	10	79	yes
1.2	6	50	yes
1.3	10	65	yes
1.4	10	66	yes
1.5	12	59	yes
1.6	10	75	yes
1.7	10	64	yes
1.8	10	37	yes
2.1	11	60	yes
2.2	11	73	yes
2.3	11	50	yes
2.4	8	80	yes
2.5	8	45	yes
2.6	20	94	yes
2.7	18	66	yes
2.8	9	79	yes
3.1	6	63	yes
3.2	10	85	yes
3.3	11	79	yes
3.4	19	19	yes
3.5	13	30	yes
3.6	15	37	yes
3.7	14	130	yes
3.8	23	91	yes
3.9	23	83	yes

kandas=3 prasnas=25 anuvakas=308 mantras=1659
