kanda.sukta	riks
19.38	3
19.39	6
19.40	4
19.41	1
19.42	4
19.43	8
19.44	10
19.45	10
19.46	7
19.47	9
19.48	6
19.49	10
19.50	7
19.51	2
19.52	5
19.53	10
19.54	5
19.55	6
19.56	6
19.57	5
19.58	6
19.59	3
19.61	1
19.62	1
19.63	1
19.64	4
19.65	1
19.66	1
19.67	8
19.68	1
19.69	4
19.70	1
19.71	1
19.72	1
20.1	3
20.2	4
20.3	3
20.4	3
20.5	7
20.6	9
20.7	4
20.8	3
20.9	4
20.10	2
20.11	11
20.12	7
20.13	4
20.14	4
20.15	6
20.16	12
20.17	12
20.18	6
20.19	7
20.20	7
20.21	11
20.22	6
20.23	9
20.24	9
20.25	7
20.26	6
20.27	6
20.28	4
20.29	5
20.30	5
20.31	5
20.32	3
20.33	3
20.34	18
20.35	16
20.36	11
20.37	11
20.38	6
20.39	5
20.40	3
20.41	3
20.42	3
20.43	3
20.44	3
20.45	3
20.46	3
20.47	21
20.48	6
20.49	7
20.50	2
20.51	4
20.52	3
20.53	3
20.54	3
20.55	3
20.56	6
20.57	16
20.58	4
20.59	4
20.60	6
20.61	6
20.62	10
20.63	9
20.64	6
20.65	3
20.66	3
20.67	7
20.68	12
20.69	12
20.70	20
20.71	16
20.72	3
20.73	6
20.74	7
20.75	3
20.76	8
20.77	8
20.78	3
20.79	2
20.80	2
20.81	2
20.82	2
20.83	2
20.84	3
20.85	4
20.86	1
20.87	7
20.88	6
20.89	11
20.90	3
20.91	12
20.92	21
20.93	8
20.94	11
20.95	4
20.96	25
20.97	3
20.98	2
20.99	2
20.100	3
20.101	3
20.102	3
20.103	3
20.104	4
20.105	5
20.106	3
20.107	15
20.108	3
20.109	3
20.110	3
20.111	3
20.112	3
20.113	2
20.114	2
20.115	3
20.116	2
20.117	3
20.118	4
20.119	2
20.120	2
20.121	2
20.122	3
20.123	2
20.124	6
20.125	7
20.126	23
20.127	14
20.128	16
20.129	20
20.130	20
20.131	19
20.132	16
20.133	6
20.134	6
20.135	13
20.136	16
20.137	14
20.138	3
20.139	5
20.140	5
20.141	5
20.142	6
20.143	9

kandas=17 suktas=708 riks=5036
